Year,Value
1881,-12.047667445718558
1882,-10.33550733032603
1883,-13.209873104887535
1884,-7.192816352965732
1885,-11.294285254962986
1886,-9.913899106614792
1887,-7.18535611569224
1888,-8.324597052069567
1889,-3.288210706673458
1890,-8.46356634237175
1891,-4.824166211091702
1892,-4.896102377472097
1893,-6.593979911133173
1894,-2.6346922057832955
1895,-3.433262606193964
1896,-0.9433177692213133
1897,-0.22680483792985373
1898,3.0731395629181573
1899,2.0451507035796426
1900,-0.7383636758848626
1901,0.14914684014119545
1902,3.4526515274172156
1903,3.1843406073024205
1904,3.767161923843604
1905,-0.14374214487228976
1906,3.632593278048977
1907,2.7817310972393168
1908,5.377385939103626
1909,5.161967170503954
1910,7.698210339109848
1911,7.008676327869463
1912,8.418126983504722
1913,6.356848080742239
1914,5.816239915921421
1915,7.27007055734434
1916,8.409238427297252
1917,9.5213702715488
1918,13.566888426041853
1919,9.2132505555612
1920,7.598675161965923
1921,8.993868059887534
1922,8.895680557994702
1923,10.884109960691692
1924,6.898673255393463
1925,10.126523988400663
1926,10.293280360213476
1927,10.385509085545342
1928,8.62824036935615
1929,9.209988151814308
1930,6.662443344986476
1931,8.31112509215812
1932,7.962547572626798
1933,9.595166892961513
1934,6.130914391376415
1935,9.652566147169457
1936,10.694101516740606
1937,3.149716224187099
1938,7.6979885208431185
1939,7.7280559675473945
1940,4.602978471820369
1941,4.563724321132445
1942,4.551775585843164
1943,3.662211156847291
1944,3.0632195887525264
1945,-0.2618376689103834
1946,4.791562001214855
1947,4.033050329930925
1948,-0.373396182765217
1949,-2.3049434603119208
1950,1.0421297529054583
1951,-1.7794811349192148
1952,-0.9694260090014637
1953,-2.5124699801474493
1954,-1.103821369508081
1955,-1.7006716564374005
1956,-5.132440283773784
1957,-7.0245208264408365
1958,-7.983413535687343
1959,-4.1375091915754885
1960,-8.25557103849275
1961,-7.38787260608426
1962,-8.03809913618781
1963,-7.394820866753144
1964,-11.577692039450957
1965,-7.712612750161799
1966,-7.39549720735174
1967,-8.58622262634926
1968,-9.670042868057106
1969,-9.102964526344932
1970,-8.712472471671227
1971,-15.231017124139616
1972,-5.9110478907855075
1973,-9.140960367768919
1974,-11.285084449056754
1975,-10.781906750375203
1976,-8.992783729584344
1977,-10.153354891213521
1978,-13.88424144284991
1979,-5.556845888567674
1980,-9.731646477416474
1981,-7.257419435450947
1982,-10.432370220229002
1983,-5.690312691947051
1984,-7.870591877235663
1985,-6.87248227479855
1986,-9.795639160051756
1987,-4.867395694848739
1988,-5.465834730217315
1989,-3.7705474383569895
1990,-7.134027642207958
1991,-6.320322186711586
1992,-0.2097033456494115
1993,-6.377824561093811
1994,-3.953144928203381
1995,-0.8163872185441465
1996,-2.2914489362188704
1997,-0.7079057863506619
1998,-2.052230394168905
1999,0.11220658040182296
