Date,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,AvgTemp
20200126,0.06,0.88,0.55,0.96,0.11,0.05,0.42,0.96,0.68,0.83,301.96
20200127,0.42,0.37,0.85,0.53,0.32,0.42,0.81,0.35,0.16,0.65,28.84
20200128,0.26,0.00,0.96,0.80,0.28,0.26,0.72,0.29,0.96,0.77,469.57
20200129,0.85,0.25,0.11,0.37,0.44,0.27,0.94,0.08,0.45,0.47,237.02
20200130,0.03,0.32,0.63,0.35,0.93,0.79,0.53,0.66,0.98,0.92,178.06
20200131,0.96,0.86,1.00,0.38,0.18,0.62,0.80,0.96,0.19,0.03,95.51
20200201,0.36,0.46,0.99,0.66,0.40,0.44,0.32,0.14,0.48,0.12,375.83
20200202,0.36,0.44,0.60,0.36,0.62,0.01,0.35,0.49,0.17,0.38,200.88
20200203,0.02,0.34,0.13,0.90,0.95,0.96,0.40,0.10,0.01,0.09,262.64
20200204,0.19,0.88,0.58,0.98,0.13,0.96,0.41,0.03,0.24,0.09,-39.67
20200205,0.40,0.95,0.00,0.03,0.92,0.22,0.10,0.66,0.40,0.57,289.70
20200206,0.93,0.99,0.20,0.19,0.08,0.04,0.52,0.87,0.43,0.22,286.65
20200207,0.10,0.38,0.96,0.11,0.48,0.53,0.10,0.34,0.89,0.63,289.31
20200208,0.95,0.97,0.33,0.04,0.45,0.95,0.89,0.88,0.64,0.93,469.06
20200209,0.87,0.79,0.64,0.23,0.21,0.91,0.06,0.12,0.43,0.82,325.00
20200210,0.45,0.68,0.28,0.45,0.35,0.58,0.45,0.24,0.99,0.25,147.73
20200211,0.33,0.24,0.95,0.84,0.45,0.30,0.28,0.90,0.61,0.09,190.37
20200212,0.23,0.22,0.73,0.22,0.87,0.33,0.15,0.51,0.32,0.95,333.70
20200213,0.61,0.17,0.33,0.49,0.96,0.90,0.78,0.61,0.69,0.99,-16.88
20200214,0.03,0.92,0.79,0.93,0.52,0.49,0.71,0.04,0.50,0.37,316.72
20200215,0.02,0.29,0.11,0.67,0.87,0.13,0.15,0.13,0.88,0.46,318.85
20200216,0.43,0.45,0.39,0.80,0.61,0.25,0.63,0.06,0.90,0.15,65.71
20200217,0.07,0.49,0.22,0.55,0.35,0.28,0.79,0.91,0.37,0.71,20.91
20200218,0.25,0.78,0.68,0.98,0.19,0.12,0.77,0.13,0.56,0.42,123.49
20200219,0.22,0.84,0.10,0.59,0.41,0.46,0.09,0.85,0.27,0.80,150.04
20200220,0.25,0.14,0.40,0.05,0.52,0.92,0.69,0.35,0.63,0.58,263.61
20200221,0.13,0.43,0.28,0.20,0.04,0.67,0.72,0.80,0.99,0.04,191.23
20200222,0.01,0.84,0.51,0.40,0.15,0.07,0.86,0.37,0.83,0.33,493.61
20200223,0.12,0.82,0.35,0.60,0.60,0.01,0.51,0.27,0.37,0.81,6.12
20200224,0.62,0.10,0.71,0.77,0.23,0.28,0.46,0.09,0.10,0.69,64.88
20200225,0.97,0.16,0.02,0.41,0.84,0.36,0.97,0.28,0.97,0.63,38.72
20200226,0.99,0.30,0.63,0.71,0.33,0.78,0.80,0.47,0.39,0.67,309.21
20200227,0.41,0.08,0.23,0.79,0.10,0.97,0.56,0.82,0.29,0.61,89.31
20200228,0.16,0.42,0.27,0.32,0.08,0.39,0.33,0.45,0.32,0.64,206.47
20200229,0.64,0.11,0.80,0.98,0.94,0.69,0.85,0.97,0.49,0.62,84.43
20200301,0.49,0.57,0.96,0.65,0.12,0.99,0.46,0.54,0.96,0.53,37.43
20200302,0.99,0.25,0.32,0.88,0.14,0.75,0.09,0.02,0.99,0.76,10.71
20200303,0.07,0.60,0.83,0.56,0.86,0.64,0.45,0.42,0.30,0.37,310.98
20200304,0.78,0.12,0.10,0.74,0.25,0.08,0.87,0.69,0.35,0.48,26.00
20200305,0.29,0.98,0.63,0.77,0.67,0.32,0.45,0.23,0.51,0.40,58.12
20200306,0.24,0.93,0.75,0.91,0.82,0.91,0.01,0.70,0.01,0.21,152.80
20200307,0.66,0.39,0.16,0.15,0.61,0.20,0.61,0.50,0.17,0.32,401.55
20200308,0.25,0.24,0.43,0.56,0.96,0.84,1.00,0.03,0.94,0.06,3.41
20200309,0.67,0.25,0.89,0.43,0.71,0.70,0.82,0.77,0.03,0.33,410.87
20200310,0.52,0.48,0.10,0.92,0.11,0.37,0.62,0.56,0.10,0.39,2.85
20200311,0.42,0.04,0.02,0.11,0.56,0.53,0.91,0.08,0.42,0.09,487.05
20200312,0.55,0.64,0.59,0.98,0.72,0.54,0.81,0.48,0.73,0.22,207.76
20200313,0.29,0.41,0.44,0.88,0.80,0.71,0.50,0.29,0.27,0.25,487.22
20200314,0.71,0.38,0.80,0.07,0.03,0.52,0.59,0.88,0.31,0.23,282.67
20200315,0.41,0.81,0.92,0.49,0.72,0.13,0.73,0.28,0.31,0.35,356.59
20200316,0.36,0.71,0.30,0.72,0.83,0.77,0.85,0.94,0.87,0.14,-28.45
20200317,0.83,0.95,0.39,0.74,0.75,0.41,0.06,0.55,0.23,0.73,105.54
20200318,0.92,0.35,0.49,0.91,0.51,0.96,0.77,0.32,0.56,0.34,16.11
20200319,0.05,0.90,0.59,0.80,0.46,0.28,0.45,0.81,1.00,0.12,112.88
20200320,0.23,0.77,0.98,0.31,0.55,0.26,0.66,0.70,0.73,0.59,15.30
20200321,0.35,0.36,0.70,0.50,0.70,0.33,0.76,0.41,0.34,0.18,124.89
20200322,0.81,0.62,0.39,0.70,0.92,0.57,0.54,0.63,0.77,0.06,177.84
20200323,0.99,0.29,0.26,0.14,0.62,0.89,0.16,0.78,0.95,0.16,-14.72
20200324,0.97,0.87,0.94,0.19,0.89,0.18,0.41,0.85,0.37,0.42,330.86
20200325,0.90,0.11,0.14,0.48,0.70,0.28,0.08,0.82,0.71,0.69,261.63
20200326,0.30,0.21,0.72,0.30,0.07,0.58,0.69,0.17,0.08,0.64,95.96
20200327,0.99,0.18,0.93,0.86,0.50,0.45,0.95,0.83,0.90,0.01,237.79
20200328,0.25,0.40,0.66,0.59,0.29,0.45,0.80,0.06,0.10,0.79,1.67
20200329,0.11,0.75,0.42,0.35,0.29,0.82,0.39,0.20,0.37,0.34,266.77
20200330,0.95,0.53,0.20,0.85,0.36,0.92,0.58,0.62,0.54,0.68,461.11
20200331,0.23,0.49,0.37,0.80,0.31,0.48,0.30,0.11,0.26,0.03,125.21
20200401,0.69,0.00,0.71,1.00,0.58,0.69,0.54,0.60,0.65,0.39,317.08
20200402,0.06,0.43,0.65,0.85,0.68,0.80,0.30,0.31,0.55,0.02,22.49
20200403,0.73,0.06,0.93,0.41,0.27,0.52,0.74,0.43,0.72,0.82,343.98
20200404,0.88,0.21,0.87,0.13,0.13,0.29,0.26,0.32,0.35,0.19,109.17
20200405,0.27,0.93,0.82,0.84,0.06,0.64,0.96,0.07,0.55,0.67,50.76
20200406,0.38,0.22,0.91,0.06,0.58,0.59,0.66,0.50,0.81,0.28,272.58
20200407,0.37,0.86,0.28,0.35,0.19,0.90,0.07,0.96,0.81,0.14,-38.94
20200408,0.75,0.80,0.37,0.92,0.01,0.05,0.01,0.61,0.71,0.93,405.92
20200409,0.24,0.16,0.38,0.96,0.93,0.91,1.00,0.30,0.54,0.60,-47.42
20200410,0.17,0.61,0.56,0.64,0.54,0.53,0.22,0.96,0.67,0.89,322.80
20200411,0.45,0.12,0.67,0.69,0.09,0.02,0.31,0.39,0.09,0.31,98.50
20200412,0.30,0.73,0.29,0.04,0.84,0.34,0.21,0.70,0.47,0.83,354.36
20200413,0.84,0.64,0.02,0.51,0.98,0.72,0.93,0.63,0.86,0.94,479.20
20200414,0.24,0.81,0.40,0.55,0.45,0.49,0.65,0.95,0.61,0.40,86.81
20200415,0.50,0.48,0.31,0.34,0.04,0.98,0.50,0.91,0.94,0.90,266.89
20200416,0.94,0.91,0.94,0.07,0.12,0.42,0.56,0.15,0.26,0.34,275.62
20200417,0.63,0.05,0.89,0.23,0.38,0.33,0.32,0.09,0.10,0.32,264.74
20200418,0.87,0.29,0.86,0.36,0.89,0.82,0.61,0.81,0.63,1.00,72.69
20200419,0.94,0.72,0.65,0.44,0.15,0.55,0.42,0.90,0.09,0.95,474.01
20200420,0.75,0.42,0.34,0.59,0.82,0.68,0.20,0.49,0.78,0.23,195.92
20200421,0.70,0.17,0.55,0.72,0.01,0.81,0.66,0.69,0.26,0.84,415.52
20200422,0.97,0.11,0.82,0.32,0.46,0.67,0.37,0.07,0.54,0.34,334.71
20200423,0.99,0.82,0.10,0.33,0.64,0.42,0.79,0.22,0.81,0.98,113.59
20200424,0.45,0.47,0.80,0.02,0.06,0.12,0.42,0.15,0.79,0.85,397.59
20200425,0.07,0.88,0.04,0.04,0.61,0.58,0.51,0.60,0.50,0.90,168.08
20200426,0.29,0.73,0.82,0.26,0.94,0.90,0.79,0.20,0.98,0.57,434.61
20200427,0.15,0.41,0.81,0.74,0.16,0.42,0.45,0.06,0.50,0.29,269.70
20200428,0.42,0.37,0.05,0.63,0.73,0.91,0.97,0.30,0.28,0.20,434.95
20200429,0.13,0.52,0.63,0.77,0.61,0.50,0.79,0.68,0.30,0.53,330.89
20200430,0.60,0.89,0.50,0.77,0.19,0.62,0.83,0.58,0.74,0.67,348.89
20200501,0.38,0.74,0.17,0.86,0.01,0.83,0.95,0.33,0.44,0.74,225.73
20200502,0.90,0.01,0.15,0.72,0.01,0.56,0.39,0.83,0.42,0.17,475.85
20200503,0.97,0.69,0.77,0.98,0.53,0.09,0.58,0.28,0.02,0.54,304.19
20200504,0.55,0.92,0.57,0.90,0.94,0.98,0.69,0.26,0.31,0.44,183.12
20200505,0.27,0.71,0.98,0.59,0.64,0.25,0.67,0.56,0.86,0.21,283.52
20200506,0.59,0.18,0.98,0.59,0.71,0.71,0.95,0.48,0.80,0.55,-39.44
20200507,0.90,0.48,0.99,0.03,0.49,0.51,0.29,0.45,0.75,0.28,115.87
20200508,0.41,0.14,0.12,1.00,0.58,0.48,0.29,0.16,0.02,0.54,313.10
20200509,0.55,0.36,0.94,0.13,0.13,0.24,0.92,0.50,0.03,0.20,109.54
20200510,0.27,0.94,0.24,0.74,0.88,0.72,0.80,0.26,0.31,0.90,289.91
20200511,0.46,0.92,0.46,0.82,0.76,0.11,0.20,0.39,0.47,0.34,185.82
20200512,0.40,0.28,0.76,0.37,1.00,0.99,0.57,0.73,0.91,0.61,24.51
20200513,0.25,0.34,0.20,0.20,0.30,0.85,0.75,0.94,0.38,0.12,114.06
20200514,0.51,0.60,0.57,0.10,0.23,0.53,0.35,0.77,0.29,0.63,263.48
20200515,0.31,0.96,0.19,0.75,0.13,0.42,0.43,0.41,0.57,0.27,274.98
20200516,0.37,0.15,0.10,0.45,0.96,0.29,0.58,0.59,0.91,0.96,265.88
20200517,0.52,0.26,0.12,0.71,0.78,0.50,0.47,0.75,0.74,0.39,309.26
20200518,0.75,0.87,0.36,0.92,0.17,0.88,0.75,0.41,0.86,0.61,308.66
20200519,0.33,0.49,0.00,0.15,0.55,0.28,0.01,0.36,0.18,0.22,187.28
20200520,0.92,0.90,0.42,0.92,0.41,0.50,0.43,0.14,0.13,0.86,443.10
20200521,0.86,0.19,0.66,0.41,0.15,0.23,0.34,0.74,0.54,0.80,152.16
20200522,0.05,0.53,0.40,0.31,0.16,0.34,0.61,0.84,0.70,0.25,189.73
20200523,0.25,0.33,0.09,0.94,0.96,0.19,0.78,0.32,0.95,0.91,440.56
20200524,0.45,0.32,0.06,0.99,0.30,0.99,0.08,0.78,0.37,0.04,393.41
20200525,0.10,0.45,0.28,0.20,0.94,0.57,0.16,0.61,0.35,0.75,337.14
20200526,0.35,0.43,0.17,0.66,0.08,0.73,0.67,0.78,0.52,0.46,5.12
20200527,0.74,0.36,0.97,0.11,0.46,0.10,0.74,0.41,0.68,0.84,455.72
20200528,0.68,0.91,0.15,0.65,0.13,0.37,0.59,0.75,0.57,0.47,342.83
20200529,0.62,0.73,0.81,0.83,0.00,0.89,0.98,0.41,0.72,0.07,499.37
20200530,0.71,0.73,0.59,0.68,0.55,0.08,0.50,0.09,0.38,0.23,32.20
20200531,0.20,0.29,0.57,0.42,0.11,0.17,0.14,0.55,0.86,0.99,427.47
20200601,0.34,0.58,0.51,0.38,0.72,0.63,0.69,0.45,0.18,0.33,39.37
20200602,0.68,0.78,0.97,0.39,0.70,0.62,0.60,0.25,0.32,0.16,288.56
20200603,0.88,0.80,0.36,0.59,0.18,0.84,0.59,0.89,0.77,0.81,18.10
20200604,0.54,0.34,0.79,0.88,0.94,0.94,0.55,0.38,0.34,0.05,416.40
20200605,0.28,0.77,0.56,0.93,0.72,0.14,0.94,0.04,0.67,0.07,394.03
20200606,0.03,0.74,0.40,0.05,0.30,0.26,0.13,0.38,0.29,0.30,263.01
20200607,0.71,0.14,0.96,0.18,0.71,0.43,0.07,0.42,0.19,0.05,173.95
20200608,0.01,0.87,0.60,0.11,0.73,0.00,0.15,0.86,0.30,1.00,-11.96
20200609,0.37,0.44,0.12,0.19,0.34,0.07,0.24,0.80,0.89,0.69,333.59
20200610,0.53,0.49,0.42,0.35,0.38,0.23,0.59,0.20,0.46,0.52,199.45
20200611,0.92,0.45,0.78,0.51,0.36,0.48,0.61,0.84,0.23,0.81,347.13
20200612,0.09,0.57,0.69,0.63,0.62,0.25,0.23,0.25,0.32,0.66,426.51
20200613,0.41,0.62,0.92,0.73,0.90,0.88,0.49,0.34,0.00,0.17,486.54
20200614,0.02,0.50,0.26,0.89,0.17,0.32,0.48,0.08,0.76,0.22,420.69
20200615,0.34,0.87,0.76,0.99,0.88,0.92,0.45,0.06,0.23,0.87,-43.56
20200616,0.62,0.63,0.46,0.66,0.03,0.97,0.80,0.68,0.60,0.34,147.99
20200617,0.28,0.40,0.57,0.85,0.66,0.45,0.47,0.92,0.03,0.45,351.49
20200618,0.21,0.42,0.96,0.78,0.41,0.23,0.76,0.49,0.83,0.39,44.40
20200619,0.12,0.81,0.98,0.31,0.79,0.29,0.17,0.84,0.19,0.05,236.57
20200620,0.58,0.35,0.86,0.88,0.72,0.78,0.53,0.79,0.00,0.70,-20.11
20200621,0.70,0.21,0.36,0.04,0.48,0.27,0.82,0.66,0.30,0.54,60.00
20200622,0.67,0.06,0.89,0.00,0.64,0.38,0.18,0.98,0.92,0.68,-39.81
20200623,0.95,0.88,0.64,0.27,0.50,0.48,0.46,0.80,0.26,0.28,386.53
20200624,0.00,0.92,0.43,0.46,0.81,0.58,0.61,0.27,0.50,0.41,73.16
20200625,0.65,0.12,0.04,0.64,0.48,1.00,0.18,0.79,0.41,0.19,139.94
20200626,0.60,0.33,0.77,0.10,0.52,0.23,0.76,0.69,0.29,0.42,460.44
20200627,0.59,0.18,0.50,0.67,0.25,0.35,0.08,0.40,0.93,0.65,337.43
20200628,0.96,0.12,0.79,0.80,0.61,0.26,0.95,0.08,0.79,0.94,-32.49
20200629,0.02,0.90,0.75,0.19,0.30,0.36,0.47,0.21,0.76,0.66,40.58
20200630,0.70,0.06,0.79,0.42,0.58,0.10,0.34,0.80,0.53,0.53,291.81
20200701,0.81,0.98,0.30,0.52,0.17,0.36,0.12,0.25,0.82,0.42,267.48
20200702,0.51,0.10,0.80,0.45,0.16,0.89,0.43,1.00,0.46,0.11,80.84
20200703,0.33,0.86,0.55,0.80,0.42,0.30,0.66,0.69,0.47,0.48,463.82
20200704,0.79,0.57,0.47,0.96,0.43,0.37,0.09,0.48,0.49,0.16,287.68
20200705,0.10,0.37,0.68,0.80,0.27,0.94,0.31,0.57,0.24,0.58,244.60
20200706,0.44,0.34,0.02,0.08,0.13,0.73,0.84,0.61,0.92,0.73,274.45
20200707,0.52,0.76,0.10,0.80,0.04,0.52,0.65,0.97,0.26,0.95,351.57
20200708,0.69,0.31,0.29,0.07,0.03,0.78,0.21,0.16,0.20,0.30,121.57
20200709,0.09,0.66,0.98,0.24,0.27,0.12,0.16,0.27,0.24,0.40,169.02
20200710,0.23,0.52,0.14,0.15,0.46,0.46,0.90,0.71,0.82,0.18,65.41
20200711,0.41,0.48,0.33,0.20,0.73,0.12,0.29,0.24,0.77,0.88,52.41
20200712,0.62,0.90,0.05,0.53,0.47,0.23,0.18,0.87,0.43,0.82,469.40
20200713,0.89,0.55,0.33,0.67,0.90,0.14,1.00,0.35,0.01,0.77,356.75
20200714,0.62,0.83,0.32,0.47,0.04,0.36,0.31,0.18,0.98,0.06,219.75
20200715,0.13,0.73,0.95,0.96,0.18,0.38,0.12,0.05,0.13,0.56,75.08
20200716,0.98,0.04,0.85,0.24,0.34,0.95,0.46,0.60,0.85,0.24,89.90
20200717,0.87,0.77,0.38,0.76,0.58,0.26,0.43,0.83,0.78,0.12,-18.08
20200718,0.50,0.22,0.02,0.87,0.85,0.47,0.93,0.27,0.94,0.78,188.93
20200719,0.92,0.90,0.83,0.56,0.35,0.81,0.13,0.92,0.77,0.21,121.49
20200720,0.54,0.04,0.66,0.46,0.27,0.82,0.09,0.76,0.33,0.50,332.99
20200721,0.92,0.33,0.15,0.60,0.06,0.75,0.09,0.06,0.23,0.53,157.76
20200722,0.83,0.10,1.00,0.43,0.82,0.29,0.90,0.57,0.38,0.21,48.78
20200723,0.97,0.48,0.10,0.56,0.38,0.49,0.45,0.57,0.20,0.49,-36.43
20200724,0.92,0.82,0.87,0.42,0.57,0.19,0.15,0.20,0.72,0.05,-13.01
20200725,0.04,0.30,0.29,0.40,0.98,0.19,0.59,0.33,0.83,0.00,323.67
20200726,0.17,0.15,0.44,0.70,0.00,0.44,0.54,0.46,0.65,0.88,199.53
20200727,0.39,0.33,0.80,0.09,0.15,0.74,0.20,0.05,0.19,0.42,245.12
20200728,0.95,0.81,0.68,0.17,0.78,0.53,0.60,0.15,0.04,0.91,443.17
20200729,0.30,0.14,0.94,0.85,0.81,0.89,0.34,0.16,0.58,0.50,494.69
20200730,0.16,0.23,0.62,0.77,0.77,0.83,0.24,0.38,0.46,0.43,69.29
20200731,0.89,0.07,0.10,0.28,0.54,0.03,0.51,0.75,0.20,0.30,314.69
20200801,0.45,0.71,0.88,0.38,0.98,0.57,0.29,0.83,0.37,0.08,94.83
20200802,0.91,0.40,0.77,0.93,0.40,0.61,0.22,0.16,0.54,0.31,-38.64
20200803,0.16,0.31,0.71,0.82,0.60,0.96,0.88,0.75,0.63,0.61,367.11
20200804,0.66,0.72,0.05,0.61,0.06,0.02,0.16,0.67,0.48,0.76,126.01
20200805,0.44,0.34,0.40,0.22,0.41,0.53,0.28,0.89,0.97,0.54,160.91
20200806,0.08,0.73,0.17,0.04,0.72,0.20,0.39,0.97,0.05,0.76,273.57
20200807,0.70,0.82,0.82,0.43,0.24,0.05,0.27,0.12,0.66,0.16,407.08
20200808,0.25,0.22,0.70,0.67,0.94,0.59,0.21,0.08,0.91,0.58,295.94
20200809,0.04,0.97,0.88,0.83,0.69,0.77,0.77,0.80,0.24,0.88,429.96
20200810,0.06,0.16,0.97,0.85,0.29,0.77,0.33,0.16,0.21,0.22,100.45
20200811,0.06,0.29,0.77,0.03,0.77,0.03,0.11,0.19,0.76,0.23,388.93
20200812,0.91,0.18,0.99,0.24,0.08,0.41,0.54,0.88,0.49,0.75,52.10
20200813,0.74,0.35,0.61,0.34,0.97,0.04,0.13,0.94,0.99,0.81,474.04
20200814,0.90,0.48,0.04,0.19,0.05,0.25,0.36,0.32,0.59,0.25,328.12
20200815,0.67,0.52,0.01,0.80,0.93,0.19,0.88,0.84,0.92,0.33,68.53
20200816,0.53,0.85,0.34,0.77,0.25,0.22,0.37,0.86,0.01,0.63,471.05
20200817,0.30,0.89,0.82,0.52,0.76,0.34,0.63,0.61,0.15,0.40,351.97
20200818,1.00,0.22,0.87,0.98,0.00,0.28,0.51,0.57,0.68,0.62,89.67
20200819,0.36,0.62,0.96,0.14,0.25,0.96,0.14,0.58,0.42,0.50,67.32
20200820,0.47,0.11,0.07,0.90,0.75,0.35,0.65,0.30,0.84,0.77,235.01
20200821,0.38,0.46,0.04,0.12,0.53,0.89,0.86,0.62,0.43,0.85,-35.89
20200822,0.98,0.32,0.91,0.16,0.11,0.18,0.09,0.24,0.71,0.86,64.11
20200823,0.17,0.32,0.31,0.70,0.39,0.76,0.75,0.18,0.57,0.61,183.58
20200824,0.33,0.48,0.56,0.11,0.38,0.06,0.69,0.41,0.12,0.61,155.79
20200825,0.68,0.73,0.98,0.57,0.57,0.46,0.87,0.71,0.72,0.45,204.97
20200826,0.06,0.07,0.40,0.42,0.67,0.01,0.10,0.62,0.71,0.03,102.70
20200827,0.61,0.88,0.67,0.73,0.84,0.81,0.31,0.96,0.12,0.30,272.73
20200828,0.48,0.73,0.40,0.90,0.50,0.95,0.69,0.65,0.56,0.06,425.12
20200829,0.28,0.18,0.77,0.77,0.39,0.04,0.02,0.14,0.34,0.44,14.64
20200830,0.24,0.94,0.53,0.85,0.14,0.93,0.73,0.16,0.46,0.85,234.56
20200831,0.51,0.51,0.24,0.03,0.80,0.77,0.86,0.09,0.42,0.60,22.64
20200901,0.37,1.00,0.27,0.31,0.71,0.36,0.45,0.19,0.10,0.68,344.27
20200902,0.46,0.20,0.26,0.52,0.41,0.91,0.43,0.60,0.16,0.19,167.83
20200903,0.34,0.53,0.53,0.42,0.52,0.30,0.28,0.84,0.09,0.26,260.98
20200904,0.97,0.29,0.70,0.23,0.67,0.41,0.01,0.89,0.19,0.16,50.80
20200905,0.13,0.30,0.95,0.31,0.16,0.10,0.19,0.40,0.85,0.84,29.67
20200906,0.10,0.59,0.69,0.95,0.03,0.66,0.98,0.56,0.02,0.28,218.43
20200907,0.34,0.92,0.78,0.29,0.32,0.03,0.87,0.81,0.43,0.56,145.59
20200908,0.59,0.81,0.17,0.35,0.60,0.48,0.27,0.31,0.80,0.14,467.24
20200909,0.66,0.72,0.37,0.00,0.49,0.68,0.96,0.60,0.10,0.12,370.93
20200910,0.40,0.56,0.41,0.85,0.69,0.82,0.37,0.17,0.23,0.35,361.76
20200911,1.00,0.92,0.69,0.15,0.82,0.15,0.30,0.48,0.73,0.33,447.05
20200912,0.35,0.49,0.30,0.20,0.49,0.75,0.15,0.17,0.65,0.33,-4.12
20200913,0.72,0.87,0.30,0.26,0.13,0.72,0.90,0.46,0.56,0.60,253.71
20200914,0.64,0.83,0.36,0.88,0.85,0.56,0.99,0.40,0.17,0.32,271.46
20200915,0.81,0.21,0.81,0.21,0.57,0.58,0.33,0.43,0.79,0.77,479.07
20200916,0.98,0.77,0.58,0.80,0.74,0.09,0.70,0.24,0.14,0.09,110.68
20200917,0.89,0.01,0.08,0.81,0.70,0.60,0.34,0.14,0.13,0.32,82.46
20200918,0.76,0.32,0.08,0.93,0.97,0.38,0.10,0.28,0.80,0.67,5.16
20200919,0.70,0.23,0.37,0.12,0.30,0.87,0.39,0.24,0.37,0.60,-40.96
20200920,0.34,0.51,0.77,0.22,0.71,0.31,0.55,0.73,0.31,0.12,461.24
20200921,0.15,0.74,0.69,0.74,0.37,0.58,0.12,0.72,0.28,0.44,318.45
20200922,0.06,0.10,0.71,0.20,0.40,0.43,0.82,0.58,0.32,0.31,381.83
20200923,0.24,0.51,0.77,0.29,0.23,0.88,0.50,0.09,0.34,0.63,104.95
20200924,0.43,0.94,0.29,0.17,0.34,0.25,0.23,0.57,0.70,0.13,272.53
20200925,0.52,0.23,0.55,0.17,0.95,0.08,0.59,0.08,0.24,0.67,-14.82
20200926,0.77,0.68,0.54,0.48,0.29,0.75,0.79,0.02,0.33,0.46,217.10
20200927,0.96,0.59,0.74,0.11,0.25,0.41,0.33,0.35,0.78,0.27,487.62
20200928,0.12,0.01,0.96,0.32,0.58,0.59,0.70,0.24,0.91,0.75,432.08
20200929,0.11,0.48,0.28,0.43,0.26,0.03,0.43,0.59,0.61,0.19,135.99
20200930,0.59,0.71,0.79,0.02,0.47,0.95,0.96,0.93,0.11,0.15,478.86
20201001,0.75,0.04,0.66,0.39,0.83,0.88,0.77,0.72,0.54,0.02,77.44
20201002,0.85,0.88,0.58,0.09,0.23,0.62,0.36,0.77,0.63,0.86,472.13
20201003,0.94,0.52,0.77,0.49,0.43,0.02,0.02,0.95,0.31,0.49,467.76
20201004,0.98,0.03,0.94,0.83,0.61,0.38,0.66,0.63,0.83,0.52,389.56
20201005,0.40,0.22,0.04,0.82,0.55,0.98,0.20,0.58,0.78,0.11,296.75
20201006,0.38,0.95,0.15,0.08,0.97,0.68,0.12,0.60,0.58,0.11,430.86
20201007,0.15,0.58,0.76,0.60,0.68,0.16,0.93,0.87,0.15,0.33,111.16
20201008,0.68,0.11,0.08,0.83,0.74,0.46,1.00,0.39,0.70,0.52,416.92
20201009,0.66,0.29,0.52,0.24,0.97,0.97,0.27,0.80,0.90,0.70,289.83
20201010,0.86,0.46,0.22,0.76,0.41,0.53,0.30,0.65,0.25,0.50,-42.72
20201011,0.10,0.02,0.27,0.89,0.36,0.02,0.16,0.30,0.96,0.83,140.98
20201012,0.50,0.41,0.70,0.81,0.04,0.62,0.46,0.01,0.77,0.38,31.48
20201013,0.58,0.49,0.03,0.11,0.18,0.27,0.87,0.21,0.30,0.03,490.01
20201014,0.24,0.24,0.87,0.01,0.24,0.10,0.70,0.70,0.62,0.43,213.10
20201015,0.17,0.59,0.44,0.19,0.18,0.40,0.85,0.58,0.31,0.09,223.57
