Date,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,AvgTemp,AvgWS,AvgPres
20200131,1.00,0.38,0.18,0.62,0.80,0.96,0.19,0.03,0.87,0.84,95.51,28.77,1040.11
20200201,0.99,0.66,0.40,0.44,0.32,0.14,0.48,0.12,0.24,0.45,375.83,10.66,1012.10
20200202,0.60,0.36,0.62,0.01,0.35,0.49,0.17,0.38,0.95,0.12,200.88,10.70,1011.12
20200203,0.13,0.90,0.95,0.96,0.40,0.10,0.01,0.09,0.16,0.16,262.64,0.49,1003.53
20200204,0.58,0.98,0.13,0.96,0.41,0.03,0.24,0.09,0.25,0.61,-39.67,5.56,1041.65
20200205,0.00,0.03,0.92,0.22,0.10,0.66,0.40,0.57,0.87,0.33,289.70,12.04,1046.15
20200206,0.20,0.19,0.08,0.04,0.52,0.87,0.43,0.22,0.43,0.03,286.65,27.88,1049.43
20200207,0.96,0.11,0.48,0.53,0.10,0.34,0.89,0.63,0.27,0.64,289.31,2.99,1006.37
20200208,0.33,0.04,0.45,0.95,0.89,0.88,0.64,0.93,0.69,0.03,469.06,28.36,1047.63
20200209,0.64,0.23,0.21,0.91,0.06,0.12,0.43,0.82,0.05,0.11,325.00,26.08,1035.43
20200210,0.28,0.45,0.35,0.58,0.45,0.24,0.99,0.25,0.89,0.16,147.73,13.62,1027.30
20200211,0.95,0.84,0.45,0.30,0.28,0.90,0.61,0.09,0.84,0.14,190.37,9.80,997.14
20200212,0.73,0.22,0.87,0.33,0.15,0.51,0.32,0.95,0.09,0.76,333.70,6.98,995.15
20200213,0.33,0.49,0.96,0.90,0.78,0.61,0.69,0.99,0.80,0.09,-16.88,18.43,991.62
20200214,0.79,0.93,0.52,0.49,0.71,0.04,0.50,0.37,0.96,0.15,316.72,0.99,1044.59
20200215,0.11,0.67,0.87,0.13,0.15,0.13,0.88,0.46,0.49,0.45,318.85,0.47,1000.59
20200216,0.39,0.80,0.61,0.25,0.63,0.06,0.90,0.15,0.57,0.14,65.71,12.86,1011.72
20200217,0.22,0.55,0.35,0.28,0.79,0.91,0.37,0.71,0.68,0.75,20.91,2.04,1014.58
20200218,0.68,0.98,0.19,0.12,0.77,0.13,0.56,0.42,0.27,0.49,123.49,7.56,1034.47
20200219,0.10,0.59,0.41,0.46,0.09,0.85,0.27,0.80,0.65,0.88,150.04,6.63,1039.10
20200220,0.40,0.05,0.52,0.92,0.69,0.35,0.63,0.58,0.47,0.04,263.61,7.60,989.74
20200221,0.28,0.20,0.04,0.67,0.72,0.80,0.99,0.04,0.41,0.86,191.23,3.93,1009.88
20200222,0.51,0.40,0.15,0.07,0.86,0.37,0.83,0.33,0.90,0.15,493.61,0.36,1039.00
20200223,0.35,0.60,0.60,0.01,0.51,0.27,0.37,0.81,0.80,0.93,6.12,3.46,1037.26
20200224,0.71,0.77,0.23,0.28,0.46,0.09,0.10,0.69,0.93,0.33,64.88,18.55,987.17
20200225,0.02,0.41,0.84,0.36,0.97,0.28,0.97,0.63,0.84,0.51,38.72,29.23,990.95
20200226,0.63,0.71,0.33,0.78,0.80,0.47,0.39,0.67,0.04,0.02,309.21,29.71,1001.29
20200227,0.23,0.79,0.10,0.97,0.56,0.82,0.29,0.61,0.61,0.73,89.31,12.27,985.28
20200228,0.27,0.32,0.08,0.39,0.33,0.45,0.32,0.64,0.70,0.21,206.47,4.89,1009.73
20200229,0.80,0.98,0.94,0.69,0.85,0.97,0.49,0.62,0.66,0.92,84.43,19.16,987.53
20200301,0.96,0.65,0.12,0.99,0.46,0.54,0.96,0.53,0.27,0.66,37.43,14.71,1019.78
20200302,0.32,0.88,0.14,0.75,0.09,0.02,0.99,0.76,0.43,0.28,10.71,29.68,997.26
20200303,0.83,0.56,0.86,0.64,0.45,0.42,0.30,0.37,0.04,0.26,310.98,1.96,1021.75
20200304,0.10,0.74,0.25,0.08,0.87,0.69,0.35,0.48,0.09,0.17,26.00,23.50,988.23
20200305,0.63,0.77,0.67,0.32,0.45,0.23,0.51,0.40,0.56,0.80,58.12,8.65,1048.31
20200306,0.75,0.91,0.82,0.91,0.01,0.70,0.01,0.21,0.58,0.44,152.80,7.24,1045.28
20200307,0.16,0.15,0.61,0.20,0.61,0.50,0.17,0.32,0.20,0.28,401.55,19.88,1007.43
20200308,0.43,0.56,0.96,0.84,1.00,0.03,0.94,0.06,0.45,0.95,3.41,7.38,996.95
20200309,0.89,0.43,0.71,0.70,0.82,0.77,0.03,0.33,0.47,0.80,410.87,19.98,997.53
20200310,0.10,0.92,0.11,0.37,0.62,0.56,0.10,0.39,0.01,0.59,2.85,15.52,1013.84
20200311,0.02,0.11,0.56,0.53,0.91,0.08,0.42,0.09,0.14,0.80,487.05,12.72,982.80
20200312,0.59,0.98,0.72,0.54,0.81,0.48,0.73,0.22,0.62,0.12,207.76,16.64,1024.78
20200313,0.44,0.88,0.80,0.71,0.50,0.29,0.27,0.25,0.99,0.67,487.22,8.61,1008.58
20200314,0.80,0.07,0.03,0.52,0.59,0.88,0.31,0.23,0.65,0.32,282.67,21.20,1006.42
20200315,0.92,0.49,0.72,0.13,0.73,0.28,0.31,0.35,0.12,0.69,356.59,12.45,1036.66
20200316,0.30,0.72,0.83,0.77,0.85,0.94,0.87,0.14,0.82,0.96,-28.45,10.82,1029.63
20200317,0.39,0.74,0.75,0.41,0.06,0.55,0.23,0.73,0.43,0.78,105.54,24.86,1046.80
20200318,0.49,0.91,0.51,0.96,0.77,0.32,0.56,0.34,0.08,0.57,16.11,27.75,1004.64
20200319,0.59,0.80,0.46,0.28,0.45,0.81,1.00,0.12,0.60,0.75,112.88,1.38,1042.83
20200320,0.98,0.31,0.55,0.26,0.66,0.70,0.73,0.59,0.23,0.47,15.30,6.98,1033.90
20200321,0.70,0.50,0.70,0.33,0.76,0.41,0.34,0.18,0.42,0.28,124.89,10.46,1005.02
20200322,0.39,0.70,0.92,0.57,0.54,0.63,0.77,0.06,0.32,0.04,177.84,24.45,1023.52
20200323,0.26,0.14,0.62,0.89,0.16,0.78,0.95,0.16,0.64,0.68,-14.72,29.56,1000.20
20200324,0.94,0.19,0.89,0.18,0.41,0.85,0.37,0.42,0.43,0.14,330.86,29.07,1041.21
20200325,0.14,0.48,0.70,0.28,0.08,0.82,0.71,0.69,0.10,0.46,261.63,27.15,987.87
20200326,0.72,0.30,0.07,0.58,0.69,0.17,0.08,0.64,0.22,0.67,95.96,8.90,994.87
20200327,0.93,0.86,0.50,0.45,0.95,0.83,0.90,0.01,0.50,0.89,237.79,29.76,992.81
20200328,0.66,0.59,0.29,0.45,0.80,0.06,0.10,0.79,0.79,0.61,1.67,7.48,1008.21
20200329,0.42,0.35,0.29,0.82,0.39,0.20,0.37,0.34,0.01,0.22,266.77,3.18,1032.17
20200330,0.20,0.85,0.36,0.92,0.58,0.62,0.54,0.68,0.61,0.47,461.11,28.53,1016.88
20200331,0.37,0.80,0.31,0.48,0.30,0.11,0.26,0.03,0.12,0.67,125.21,7.00,1014.14
20200401,0.71,1.00,0.58,0.69,0.54,0.60,0.65,0.39,0.60,0.20,317.08,20.69,980.04
20200402,0.65,0.85,0.68,0.80,0.30,0.31,0.55,0.02,0.84,0.73,22.49,1.75,1009.78
20200403,0.93,0.41,0.27,0.52,0.74,0.43,0.72,0.82,0.23,0.76,343.98,21.92,984.45
20200404,0.87,0.13,0.13,0.29,0.26,0.32,0.35,0.19,0.50,0.52,109.17,26.45,994.58
20200405,0.82,0.84,0.06,0.64,0.96,0.07,0.55,0.67,0.77,0.86,50.76,8.17,1045.27
20200406,0.91,0.06,0.58,0.59,0.66,0.50,0.81,0.28,0.18,0.22,272.58,11.37,995.08
20200407,0.28,0.35,0.19,0.90,0.07,0.96,0.81,0.14,0.15,0.54,-38.94,11.23,1040.08
20200408,0.37,0.92,0.01,0.05,0.01,0.61,0.71,0.93,0.91,0.89,405.92,22.46,1036.20
20200409,0.38,0.96,0.93,0.91,1.00,0.30,0.54,0.60,0.69,0.70,-47.42,7.13,991.14
20200410,0.56,0.64,0.54,0.53,0.22,0.96,0.67,0.89,0.74,0.81,322.80,5.16,1022.40
20200411,0.67,0.69,0.09,0.02,0.31,0.39,0.09,0.31,0.84,0.22,98.50,13.48,988.10
20200412,0.29,0.04,0.84,0.34,0.21,0.70,0.47,0.83,0.54,0.57,354.36,9.13,1030.95
20200413,0.02,0.51,0.98,0.72,0.93,0.63,0.86,0.94,0.49,0.32,479.20,25.18,1024.62
20200414,0.40,0.55,0.45,0.49,0.65,0.95,0.61,0.40,0.56,0.66,86.81,7.13,1036.84
20200415,0.31,0.34,0.04,0.98,0.50,0.91,0.94,0.90,0.72,0.52,266.89,15.07,1013.56
20200416,0.94,0.07,0.12,0.42,0.56,0.15,0.26,0.34,0.39,0.63,275.62,28.28,1044.04
20200417,0.89,0.23,0.38,0.33,0.32,0.09,0.10,0.32,0.10,0.62,264.74,19.02,983.45
20200418,0.86,0.36,0.89,0.82,0.61,0.81,0.63,1.00,0.14,0.74,72.69,26.02,1000.50
20200419,0.65,0.44,0.15,0.55,0.42,0.90,0.09,0.95,0.97,0.80,474.01,28.21,1030.05
20200420,0.34,0.59,0.82,0.68,0.20,0.49,0.78,0.23,0.05,0.06,195.92,22.52,1009.27
20200421,0.55,0.72,0.01,0.81,0.66,0.69,0.26,0.84,0.71,0.95,415.52,20.99,992.11
20200422,0.82,0.32,0.46,0.67,0.37,0.07,0.54,0.34,0.94,0.41,334.71,29.04,987.50
20200423,0.10,0.33,0.64,0.42,0.79,0.22,0.81,0.98,0.13,0.17,113.59,29.83,1037.21
20200424,0.80,0.02,0.06,0.12,0.42,0.15,0.79,0.85,0.72,0.92,397.59,13.55,1013.12
20200425,0.04,0.04,0.61,0.58,0.51,0.60,0.50,0.90,0.30,0.78,168.08,2.13,1041.76
20200426,0.82,0.26,0.94,0.90,0.79,0.20,0.98,0.57,0.24,0.42,434.61,8.78,1031.33
20200427,0.81,0.74,0.16,0.42,0.45,0.06,0.50,0.29,0.85,0.60,269.70,4.57,1008.68
20200428,0.05,0.63,0.73,0.91,0.97,0.30,0.28,0.20,0.91,0.23,434.95,12.52,1006.15
20200429,0.63,0.77,0.61,0.50,0.79,0.68,0.30,0.53,0.35,0.41,330.89,3.94,1016.09
20200430,0.50,0.77,0.19,0.62,0.83,0.58,0.74,0.67,0.63,0.40,348.89,18.12,1042.23
20200501,0.17,0.86,0.01,0.83,0.95,0.33,0.44,0.74,0.18,0.75,225.73,11.48,1031.61
20200502,0.15,0.72,0.01,0.56,0.39,0.83,0.42,0.17,0.79,0.43,475.85,26.86,980.36
20200503,0.77,0.98,0.53,0.09,0.58,0.28,0.02,0.54,0.88,0.75,304.19,29.03,1028.59
20200504,0.57,0.90,0.94,0.98,0.69,0.26,0.31,0.44,0.32,0.79,183.12,16.41,1044.37
20200505,0.98,0.59,0.64,0.25,0.67,0.56,0.86,0.21,0.65,0.39,283.52,8.24,1029.73
20200506,0.98,0.59,0.71,0.71,0.95,0.48,0.80,0.55,0.88,0.44,-39.44,17.77,992.39
20200507,0.99,0.03,0.49,0.51,0.29,0.45,0.75,0.28,0.02,0.52,115.87,26.90,1013.85
20200508,0.12,1.00,0.58,0.48,0.29,0.16,0.02,0.54,0.86,0.00,313.10,12.20,989.82
20200509,0.94,0.13,0.13,0.24,0.92,0.50,0.03,0.20,0.57,0.20,109.54,16.56,1005.13
20200510,0.24,0.74,0.88,0.72,0.80,0.26,0.31,0.90,0.41,0.85,289.91,8.15,1045.60
20200511,0.46,0.82,0.76,0.11,0.20,0.39,0.47,0.34,0.52,0.76,185.82,13.66,1044.63
20200512,0.76,0.37,1.00,0.99,0.57,0.73,0.91,0.61,0.82,0.08,24.51,12.05,999.80
20200513,0.20,0.20,0.30,0.85,0.75,0.94,0.38,0.12,0.72,0.63,114.06,7.45,1003.77
20200514,0.57,0.10,0.23,0.53,0.35,0.77,0.29,0.63,0.50,0.02,263.48,15.18,1022.01
20200515,0.19,0.75,0.13,0.42,0.43,0.41,0.57,0.27,0.49,0.53,274.98,9.31,1047.42
20200516,0.10,0.45,0.96,0.29,0.58,0.59,0.91,0.96,0.90,0.16,265.88,11.19,990.35
20200517,0.12,0.71,0.78,0.50,0.47,0.75,0.74,0.39,0.23,0.85,309.26,15.75,997.98
20200518,0.36,0.92,0.17,0.88,0.75,0.41,0.86,0.61,0.10,0.61,308.66,22.52,1041.15
20200519,0.00,0.15,0.55,0.28,0.01,0.36,0.18,0.22,0.68,0.06,187.28,10.01,1014.43
20200520,0.42,0.92,0.41,0.50,0.43,0.14,0.13,0.86,0.70,0.64,443.10,27.72,1042.93
20200521,0.66,0.41,0.15,0.23,0.34,0.74,0.54,0.80,0.57,0.89,152.16,25.87,992.99
20200522,0.40,0.31,0.16,0.34,0.61,0.84,0.70,0.25,0.26,0.73,189.73,1.46,1017.29
20200523,0.09,0.94,0.96,0.19,0.78,0.32,0.95,0.91,0.30,0.12,440.56,7.61,1002.84
20200524,0.06,0.99,0.30,0.99,0.08,0.78,0.37,0.04,0.62,0.67,393.41,13.38,1002.16
20200525,0.28,0.20,0.94,0.57,0.16,0.61,0.35,0.75,0.27,0.61,337.14,3.14,1011.28
20200526,0.17,0.66,0.08,0.73,0.67,0.78,0.52,0.46,0.50,0.63,5.12,10.45,1010.32
20200527,0.97,0.11,0.46,0.10,0.74,0.41,0.68,0.84,0.33,0.80,455.72,22.20,1005.01
20200528,0.15,0.65,0.13,0.37,0.59,0.75,0.57,0.47,0.51,0.30,342.83,20.42,1044.05
20200529,0.81,0.83,0.00,0.89,0.98,0.41,0.72,0.07,0.23,0.36,499.37,18.67,1031.22
20200530,0.59,0.68,0.55,0.08,0.50,0.09,0.38,0.23,0.20,0.20,32.20,21.32,1030.93
20200531,0.57,0.42,0.11,0.17,0.14,0.55,0.86,0.99,0.73,0.46,427.47,6.15,1000.29
20200601,0.51,0.38,0.72,0.63,0.69,0.45,0.18,0.33,0.39,0.41,39.37,10.25,1020.44
20200602,0.97,0.39,0.70,0.62,0.60,0.25,0.32,0.16,0.23,0.08,288.56,20.29,1034.54
20200603,0.36,0.59,0.18,0.84,0.59,0.89,0.77,0.81,0.86,0.24,18.10,26.38,1035.69
20200604,0.79,0.88,0.94,0.94,0.55,0.38,0.34,0.05,0.40,0.12,416.40,16.31,1004.12
20200605,0.56,0.93,0.72,0.14,0.94,0.04,0.67,0.07,0.12,0.55,394.03,8.48,1033.96
20200606,0.40,0.05,0.30,0.26,0.13,0.38,0.29,0.30,0.71,0.19,263.01,0.91,1031.51
20200607,0.96,0.18,0.71,0.43,0.07,0.42,0.19,0.05,0.28,0.33,173.95,21.31,989.91
20200608,0.60,0.11,0.73,0.00,0.15,0.86,0.30,1.00,0.57,0.82,-11.96,0.24,1040.62
20200609,0.12,0.19,0.34,0.07,0.24,0.80,0.89,0.69,0.62,0.57,333.59,11.18,1010.89
20200610,0.42,0.35,0.38,0.23,0.59,0.20,0.46,0.52,0.96,0.52,199.45,15.92,1014.05
20200611,0.78,0.51,0.36,0.48,0.61,0.84,0.23,0.81,0.19,0.94,347.13,27.66,1011.39
20200612,0.69,0.63,0.62,0.25,0.23,0.25,0.32,0.66,0.28,0.44,426.51,2.68,1019.75
20200613,0.92,0.73,0.90,0.88,0.49,0.34,0.00,0.17,0.93,0.88,486.54,12.18,1023.48
20200614,0.26,0.89,0.17,0.32,0.48,0.08,0.76,0.22,0.72,0.58,420.69,0.73,1014.87
20200615,0.76,0.99,0.88,0.92,0.45,0.06,0.23,0.87,0.45,0.41,-43.56,10.28,1040.68
20200616,0.46,0.66,0.03,0.97,0.80,0.68,0.60,0.34,0.73,0.35,147.99,18.67,1023.94
20200617,0.57,0.85,0.66,0.45,0.47,0.92,0.03,0.45,0.41,0.90,351.49,8.37,1008.10
20200618,0.96,0.78,0.41,0.23,0.76,0.49,0.83,0.39,0.41,0.57,44.40,6.29,1009.17
20200619,0.98,0.31,0.79,0.29,0.17,0.84,0.19,0.05,0.16,0.25,236.57,3.47,1036.76
20200620,0.86,0.88,0.72,0.78,0.53,0.79,0.00,0.70,0.52,0.52,-20.11,17.31,1004.37
20200621,0.36,0.04,0.48,0.27,0.82,0.66,0.30,0.54,0.26,0.25,60.00,20.86,994.80
20200622,0.89,0.00,0.64,0.38,0.18,0.98,0.92,0.68,0.63,0.24,-39.81,20.16,984.16
20200623,0.64,0.27,0.50,0.48,0.46,0.80,0.26,0.28,0.40,0.13,386.53,28.47,1041.32
20200624,0.43,0.46,0.81,0.58,0.61,0.27,0.50,0.41,0.85,0.69,73.16,0.08,1044.30
20200625,0.04,0.64,0.48,1.00,0.18,0.79,0.41,0.19,0.77,0.78,139.94,19.42,988.41
20200626,0.77,0.10,0.52,0.23,0.76,0.69,0.29,0.42,0.15,0.32,460.44,18.01,1003.41
20200627,0.50,0.67,0.25,0.35,0.08,0.40,0.93,0.65,0.59,0.41,337.43,17.66,992.28
20200628,0.79,0.80,0.61,0.26,0.95,0.08,0.79,0.94,0.71,0.79,-32.49,28.88,988.11
20200629,0.75,0.19,0.30,0.36,0.47,0.21,0.76,0.66,0.51,0.02,40.58,0.51,1042.99
20200630,0.79,0.42,0.58,0.10,0.34,0.80,0.53,0.53,0.11,0.33,291.81,20.89,983.98
20200701,0.30,0.52,0.17,0.36,0.12,0.25,0.82,0.42,0.50,0.31,267.48,24.41,1048.63
20200702,0.80,0.45,0.16,0.89,0.43,1.00,0.46,0.11,0.43,0.54,80.84,15.29,986.75
20200703,0.55,0.80,0.42,0.30,0.66,0.69,0.47,0.48,0.33,0.89,463.82,10.02,1040.44
20200704,0.47,0.96,0.43,0.37,0.09,0.48,0.49,0.16,0.58,0.04,287.68,23.73,1019.66
20200705,0.68,0.80,0.27,0.94,0.31,0.57,0.24,0.58,0.32,0.84,244.60,2.92,1005.75
20200706,0.02,0.08,0.13,0.73,0.84,0.61,0.92,0.73,0.24,0.56,274.45,13.26,1003.96
20200707,0.10,0.80,0.04,0.52,0.65,0.97,0.26,0.95,0.74,0.59,351.57,15.60,1033.02
20200708,0.29,0.07,0.03,0.78,0.21,0.16,0.20,0.30,0.21,0.96,121.57,20.82,1002.02
20200709,0.98,0.24,0.27,0.12,0.16,0.27,0.24,0.40,0.81,0.13,169.02,2.73,1026.01
20200710,0.14,0.15,0.46,0.46,0.90,0.71,0.82,0.18,0.98,0.28,65.41,6.83,1016.21
20200711,0.33,0.20,0.73,0.12,0.29,0.24,0.77,0.88,0.44,0.23,52.41,12.31,1013.95
20200712,0.05,0.53,0.47,0.23,0.18,0.87,0.43,0.82,0.81,0.47,469.40,18.70,1043.08
20200713,0.33,0.67,0.90,0.14,1.00,0.35,0.01,0.77,0.17,0.58,356.75,26.61,1018.83
20200714,0.32,0.47,0.04,0.36,0.31,0.18,0.98,0.06,0.80,0.73,219.75,18.56,1037.88
20200715,0.95,0.96,0.18,0.38,0.12,0.05,0.13,0.56,0.96,0.05,75.08,4.00,1030.79
20200716,0.85,0.24,0.34,0.95,0.46,0.60,0.85,0.24,0.52,0.43,89.90,29.42,982.70
20200717,0.38,0.76,0.58,0.26,0.43,0.83,0.78,0.12,0.26,0.92,-18.08,26.15,1034.12
20200718,0.02,0.87,0.85,0.47,0.93,0.27,0.94,0.78,0.16,0.46,188.93,15.08,995.18
20200719,0.83,0.56,0.35,0.81,0.13,0.92,0.77,0.21,0.92,0.82,121.49,27.67,1043.22
20200720,0.66,0.46,0.27,0.82,0.09,0.76,0.33,0.50,0.32,0.11,332.99,16.24,983.00
20200721,0.15,0.60,0.06,0.75,0.09,0.06,0.23,0.53,0.50,0.29,157.76,27.70,1003.32
20200722,1.00,0.43,0.82,0.29,0.90,0.57,0.38,0.21,0.43,0.74,48.78,24.90,986.98
20200723,0.10,0.56,0.38,0.49,0.45,0.57,0.20,0.49,0.44,0.62,-36.43,29.05,1013.29
20200724,0.87,0.42,0.57,0.19,0.15,0.20,0.72,0.05,0.77,0.44,-13.01,27.59,1037.40
20200725,0.29,0.40,0.98,0.19,0.59,0.33,0.83,0.00,0.94,0.67,323.67,1.08,1000.87
20200726,0.44,0.70,0.00,0.44,0.54,0.46,0.65,0.88,0.64,0.77,199.53,5.24,990.57
20200727,0.80,0.09,0.15,0.74,0.20,0.05,0.19,0.42,0.96,0.90,245.12,11.67,1003.12
20200728,0.68,0.17,0.78,0.53,0.60,0.15,0.04,0.91,0.19,0.44,443.17,28.56,1036.97
20200729,0.94,0.85,0.81,0.89,0.34,0.16,0.58,0.50,0.56,0.64,494.69,9.00,989.83
20200730,0.62,0.77,0.77,0.83,0.24,0.38,0.46,0.43,0.69,0.38,69.29,4.81,995.92
20200731,0.10,0.28,0.54,0.03,0.51,0.75,0.20,0.30,0.71,0.93,314.69,26.59,984.82
20200801,0.88,0.38,0.98,0.57,0.29,0.83,0.37,0.08,0.76,0.48,94.83,13.39,1029.40
20200802,0.77,0.93,0.40,0.61,0.22,0.16,0.54,0.31,0.33,0.41,-38.64,27.24,1007.67
20200803,0.71,0.82,0.60,0.96,0.88,0.75,0.63,0.61,0.88,0.94,367.11,4.81,1001.76
20200804,0.05,0.61,0.06,0.02,0.16,0.67,0.48,0.76,0.13,0.00,126.01,19.83,1030.30
20200805,0.40,0.22,0.41,0.53,0.28,0.89,0.97,0.54,0.28,0.33,160.91,13.21,1003.52
20200806,0.17,0.04,0.72,0.20,0.39,0.97,0.05,0.76,0.47,0.84,273.57,2.29,1030.94
20200807,0.82,0.43,0.24,0.05,0.27,0.12,0.66,0.16,0.59,0.45,407.08,20.89,1037.06
20200808,0.70,0.67,0.94,0.59,0.21,0.08,0.91,0.58,0.30,0.35,295.94,7.42,995.24
20200809,0.88,0.83,0.69,0.77,0.77,0.80,0.24,0.88,0.91,0.59,429.96,1.19,1048.17
20200810,0.97,0.85,0.29,0.77,0.33,0.16,0.21,0.22,0.45,0.40,100.45,1.80,991.37
20200811,0.77,0.03,0.77,0.03,0.11,0.19,0.76,0.23,0.10,0.33,388.93,1.83,1000.36
20200812,0.99,0.24,0.08,0.41,0.54,0.88,0.49,0.75,0.82,0.27,52.10,27.23,992.59
20200813,0.61,0.34,0.97,0.04,0.13,0.94,0.99,0.81,0.97,0.31,474.04,22.20,1004.19
20200814,0.04,0.19,0.05,0.25,0.36,0.32,0.59,0.25,0.35,0.92,328.12,26.94,1013.60
20200815,0.01,0.80,0.93,0.19,0.88,0.84,0.92,0.33,0.55,0.96,68.53,20.18,1016.55
20200816,0.34,0.77,0.25,0.22,0.37,0.86,0.01,0.63,0.58,0.10,471.05,15.87,1039.75
20200817,0.82,0.52,0.76,0.34,0.63,0.61,0.15,0.40,0.80,0.74,351.97,9.13,1042.26
20200818,0.87,0.98,0.00,0.28,0.51,0.57,0.68,0.62,0.15,0.66,89.67,29.94,995.41
20200819,0.96,0.14,0.25,0.96,0.14,0.58,0.42,0.50,0.84,0.63,67.32,10.87,1023.60
20200820,0.07,0.90,0.75,0.35,0.65,0.30,0.84,0.77,0.72,0.03,235.01,14.12,987.80
20200821,0.04,0.12,0.53,0.89,0.86,0.62,0.43,0.85,0.03,0.27,-35.89,11.35,1012.13
20200822,0.91,0.16,0.11,0.18,0.09,0.24,0.71,0.86,0.57,0.75,64.11,29.39,1002.56
20200823,0.31,0.70,0.39,0.76,0.75,0.18,0.57,0.61,0.03,0.50,183.58,5.24,1002.16
20200824,0.56,0.11,0.38,0.06,0.69,0.41,0.12,0.61,0.50,0.02,155.79,9.84,1013.78
20200825,0.98,0.57,0.57,0.46,0.87,0.71,0.72,0.45,0.60,0.53,204.97,20.41,1031.09
20200826,0.40,0.42,0.67,0.01,0.10,0.62,0.71,0.03,0.63,0.85,102.70,1.90,984.84
20200827,0.67,0.73,0.84,0.81,0.31,0.96,0.12,0.30,0.93,0.88,272.73,18.22,1041.54
20200828,0.40,0.90,0.50,0.95,0.69,0.65,0.56,0.06,0.30,0.90,425.12,14.33,1031.44
20200829,0.77,0.77,0.39,0.04,0.02,0.14,0.34,0.44,0.84,0.53,14.64,8.52,992.35
20200830,0.53,0.85,0.14,0.93,0.73,0.16,0.46,0.85,0.45,0.47,234.56,7.15,1045.74
20200831,0.24,0.03,0.80,0.77,0.86,0.09,0.42,0.60,0.67,0.24,22.64,15.44,1015.44
